language,family,genus,pop,I,you,we,one,two,person,fish,dog,louse,tree,leaf,skin,blood,bone,horn,ear,eye,nose,tooth,tongue,knee,hand,breast,liver,drink,see,hear,die,come,sun,star,water,stone,fire,path,mountain,night,full,new,name
KOYRA,AA,NORTH_OMOTIC,157000,tani,nEni,nuni,bico,lam-lame,ace,gulice,kana,CuCe,mice,waSe,komi7e-kome,suce,mEkEte,uSume,uwaSe,af-afe,siTe,gago,unure-unicure,bohe,kuCe,Tance,maye,uSu,be,si,hayi7,iyo,awa,coline,wace,SuCe,tama,oge,b3k-b3ka,kama,0,kile,sune
KULLO,AA,NORTH_OMOTIC,543000,tana,nena,nuna,ita,la7a,asa,moliya-molia,kana,CuCa,mica,haca,bola,sus-suca,mEkEc-mEkEca,keCiya,haca,afiya,siTiya,aCa,intarsa,gulbEta,kuSiya,Tana,t3riya,uSE,be7e,sise,hayE,yE,awa,toliniya-coliniya,haca,SuCa,tama,ogeya,dEriya,kama,0,orEca,suna
MALE_ETHIOPIA,AA,NORTH_OMOTIC,94700,tani,bore,nuni,pEte,lEmo,asi,molo,kani,CugiCi,mici,bonCa,zETi,s3guci,miguci,rori,wozi,afi,s3di,aCi,inirsi,guSi,kuCi,Tanci,mazi,uSk,z3g,waz,hak,hani,abi,wuCo,waci,SuCi,tami,goci,gEmeri,Tumi,0,aki,sunci
MOCHA,AA,NORTH_OMOTIC,79900,0,0,0,iko,guto,0,hoSo,kunono,Cuto,mito,womo,0,domo,SowuSo,qoro,womo,opo,Sito,goSo,haCowo,guroto,kiSo,tano-gato,aporo,usi,baqi,qabu,qiti,wo,abe,toZo,oCo,Suto,qoqo,woroto,gapo,tumo,Ceno,ondiro,S3go
MOCHA_2,AA,NORTH_OMOTIC,79900,ta,ne,no,iko,guto,aSo,haSo,kunano,Cuto,mito,So7o,goko,dEmo,SaSo-SauSo,karo,wamo,afo,Sito,gaSo,heCawo,gurato,k3So,tEno,afaro,uwe,Cine,kEbe,kitib,wob-wobe,abo,t3jo,aCo,Suto,kako,w3rato,gEpo,tumo,0,b3ro,Sigo
NORTHERN_MAO,AA,NORTH_OMOTIC,5000,tiya,EsE,hamle,iSki,yEmo,Eze,koke,kana,kiSE,inE,wale,koda,hanE,maldE,iSimE,wale,apE,Sine,azE,anile,kume,kusE,arE,mEle,iSi,yine,ke-keu,hEgi,ing-inge,awa,bagE,hace,Soe,kamE,pomE,Soe,safe,0,tumE,tiNal
OYDA,AA,NORTH_OMOTIC,36900,tana,nena,nuna,pEto,nami,as,molo,kana,CuC,minca,bono,kole,suc,mEkEc,kaCe,haye,afe,siTe,aCi,in3rs,gulbata,kuSe,Tan,tiri,uZ,bi,si,hak,yi,awa,colino,hac,SuC,tama,oge,dEre,kama,0,orEc,sun
SEZE,AA,NORTH_OMOTIC,3000,0,0,0,iSilE,nombE,may,wasi,wiSi,0,ilnsE,0,goNkE,hamblE,0,kali,wEy,awi,sintE,acE,yansilE,gubi,kusE,0,bey,iSE,0,kiwE,ziyE,kwa,awE,kozi,haNsi,SawE,tamE,kwe,bali,kweSim,0,0,0
SHE,AA,NORTH_OMOTIC,348000,tan,nena,nona,mat,nam,ac,wori,kian,CuC,en,aisi,gel,sut,mErt,uS,ai,af,sint,gaS,ec,gura3t,kuC,tiam,mai,uS,beka,sis,aika,wu,obEr,zat,so7,bak,tam,bod,gud,dutan,0,kai,sum
SHINASSHA,AA,NORTH_OMOTIC,37500,ta,ne,no,ikka,gitta,asSa,mutca,kana,cuca,mitta,mara,kedda,ca7atca,mak3tca,kalla,waza,awa,Sinta,gaSa,albera,gubra,kiSa,caca,afara,uS,bek,SiS,kirr,wa,awa,kena,aca,Sutca,tawa,wera,gura,tuwa,cen,andra,Suca
SHINASSHA_2,AA,NORTH_OMOTIC,37500,tana,nena,nona,3ka,gita,aSa,muca,k3na,cuca,mita,mara,goka,tEca,mEk3ca,kala,waza,awa,Sinta,g3Sa,albera,gubra,kiSa,taca,afara,uwi,cil,Si,kiri,wo,awa,kena,aca,Suca,tawa,wera,gura,tuwa,0,adisa,Suca
SOUTHERN_MAO,AA,NORTH_OMOTIC,500,to7oni,no,nuSi,iko,guto,aSo,haSo,kano,cuco,mico,maso,goNko,cano,SauSo,karo,wajo,afo,Sino,gaSo,Erico,gulmato,keSo,tano,afaro,uS,cin,Siye-Sie,kera,wob-wobe,abo,cigEro,yuro,Suco,tamo,goto,dago,diro,0,aniro,Sigo
WELAMO,AA,NORTH_OMOTIC,1710000,tana,nena,nuna,ista,na7a,asa,mole,k3na,CuCa,zaf,bonCo,galba,suta,meketa,k3CiyE,hata,afe,sireyE,aCa,intarsa,0,kuSi,tana,t3re,uy,be7,s,hak,y,aw-awa,tol3no,hata,SuCa,tama,oge,dere,kama,0,orEta,suna
WOLAYTTA,AA,NORTH_OMOTIC,1710000,ta,ne,nu,ista,na7a,asa,moliya,kana,CuCCa,mitta,agg-yed,galba-goga,sutta,meketta,kaTiya,haytta,ayfiya,siriya,aTTa,intarsa,gulbata,kusSiya,tanta,tiriya,uyy,be7,siy,haykk,y,awa7ayfiyu,tolintiya,hatta,SuTTa,tama,ogiya,deriya,kamma,kum-mitt,horatta,sunta
ZAYSE,AA,NORTH_OMOTIC,18500,tana,ne,nui,bizo,nam-nama,ac,mole,kana,CuCe,minca,waye,kole,suc,mEkEte,uSume,waye,afe,kunke,aC-aCi,inir,0,kuCe,Tan,maye,uSE,cElE,si,hayo,yEta,kos,soline,wace,melo,budo,oge,boCe,Cemo,0,gElo,sun
ZERGULLA,AA,NORTH_OMOTIC,18500,tana,ne,nui,bizo,nam-nama,ac,mole,kana,CuCe,minca,waye,kole,suc,mEkEte,kaCe,waye,afe,kunke,ac-aci,inir,gulbEt,kuCe,Tan,maye,uSE,cElE,si,hayo,yEta,awa,soline,wace,melo,budo,oge,zuma,Cemo,0,gElo,sun
ACHAEMENID_ARAMAIC,AA,SEMITIC,-2,0,0,0,Xd,tren,3naS,0,0,0,0,0,0,0,0,0,0,Xayin,0,0,liSan,0,yad,0,0,0,Xzy,SmX,myt,7ty-mty,SmS,0,myn,eben,0,oraX,tur,lele,0,0,Sum
AKKADIAN,AA,SEMITIC,-2,anaku,ata-ati,ninu,iSten-iStet,Sina-Sita,awilu,nunu,kalbu,uplu,isu,0,gildu,damu,esemtu,karnu-qarnu,uznu,inu,apu,Sinu,liSanu,birku,katu-qatu,irtu,kabatu,Satu,amaru,Semu,matu,teXu,SamSu,kakabu,mu,abnu,iSatu,Xulu,Sadu,muSu,malu,eSu,Sumu
AKKADIAN_2,AA,SEMITIC,-2,anaku,ata-ati,ninu,iStenu,Sina,awilu,nunu,kalbu,0,isu,0,maSku,damu,esemtu,qarnu,uznu,inu,apu,Sinu,liSanu,birku,qatu,tulu,amutu,Satu,amaru,Semu,matu,kaSadu,SamSu,kakabu,mu,abnu,iSatu,padanu,Sadu,muSu-liliatu,0,eSu,Sumu
AMEDYA_ARAMAIC,AA,SEMITIC,598000,ana,ahi,ax3ni,xa-xa7,tre-tre7,Xinsan-naSa,nuni8a,kalba,qalma,dara-siwa,tarpa,0,d3ma,garma,qana,na8a,ena,naxira,kaka,liSana,b3rka,ida,0,koda,Sat3y,xaz3y,Sam37,may38-dyaXa,38ya-qar3y,S3mSa,koxu8a,maye,kepa,nura,urxa-kolana,tura,lele,0,xa8a,S3ma
AMHARIC,AA,SEMITIC,21820220,3ne,an3-anCi,a5a,an,hul3t,s3w,asa,w3Sa,k3mal,zaf,k3t3l,koda,d3m,at3nt,k3n,joro,ayn,af3nCa,t3rs,m3las,gulb3t,3j,tut,gub3t,t3ta,ay3,s3ma,mot3-ar3f3,m3ta,s3hay,kok3b,w3ha,d3niya-d3nay,3sat,m3n3d,t3rara-gara,lelit,mulu,adis,s3m
AMHARIC_2,AA,SEMITIC,21820220,3ne,anE,35a,an,hulEt,sEw,asa,w3Sa,k3mal,zaf,kitEl,koda,dEm,at3nt,kEn,joro,an,af3nCa,t3rs,m3las,gulbEt,3j,tut,gubEt,tEta,ayE,sEma,mot,mEta,sEhay,kokEb,wuha,d3ngay,3sat,nEngEd,tErara,lelit,0,adis,s3m
AMHARIC_3,AA,SEMITIC,21820220,3ne,anta,35a,and,hul3t,s3w,asa,wuSa-w3Sa,k3mal,zaf,k3t3l,kod3,d3m,at3n,k3n,joro,ayn,3f3nCa,t3rs,m3las,gulb3t,3Z,tut,gub3t,t3ta,aya,s3ma,mot3,m3ta,tehay-s3hay-tay,kok3b,w3ha,d3ngay,3sat,m3ng3d,t3rara,let-lelit,m3lu,adis,s3m
ARABIC_CYPRIOT_SPOKEN,AA,SEMITIC,9760,ana,int-inti,naxni,vexen-vexte,8nayn-xnayn,0,0,kilp,0,0,0,salax-pkyislox,timm,0,0,i8n,Xayn,maxur,sinn-snan,san,0,it,pizz,kaspe,Sireb-pkyiSrab,kiSe-pkyakSaa,sime-pkyismaa,mat-pimut,Za-piZi,0,nnuZum,moe,xaZar,okit,0,0,layl,0,Zdiye,ism
ARABIC_GULF_SPOKEN,AA,SEMITIC,6779000,ana,inta-inti,ihna,wahid,i8nen,nafar,simaC,Calb,gamla,Sijara,wriga,jild,dam,xa8im,garn,idhin,xen,xaSim,sin,lisan,rikba,yad,sadir,Cibd,Sarab,Saf,simax,mat,ja,Sams,najma,may,hajar,nar-dav,tarig,jibal,lel,matrus,jadid,isim
ARABIC_LIBYAN_SPOKEN,AA,SEMITIC,3564000,ana-na-no,inta-inti,nihna,wohxad,i8nen,0,hxut,kalib,0,SuZor,urugo,Zilid,dam,Xodxum,gorun,wi8in,Xayn,xoSim,sinn,ilsan,rukbo,yad,0,kabda,iSrib,Sap,ismiX,mat,Za,Samis,najma,0,0,nor,zanga,Zibal,0,0,jidid,isim
ARABIC_NORTH_LEVANTINE_SPOKEN,AA,SEMITIC,25871950,ani,int-int3,neXni,w3Xad,tneyn,insen,nun,kal3b,amol,SaZar,wara7a,Zild,dam,Xazam,aran,3d3n,Xayn,m3nXar,s3n,lsen,rikbi,3d,sidr,k3bdi,S3r3b,Sef,s3m3Xa,m3t,3Za,Sam3s,niZmi,may,XaZar,nar,darab,Zabel,layl,m3lin,Zdid,3s3m
ARABIC_QURANIC,AA,SEMITIC,-2,ana,anta,naXnu,waXid,i8nani,insan,Xut,kalb,kumal,SaZar,warakat,Zild,dam,azm,0,un,Xayn,anf,sin,lisan,rukbat,yad,sadr,kabid,Srb,r7y,SmX,mwt,ty-j7y,Sams,kawkab,ma,XaZar,nar,tariq,Zabal,laylat,mal7an,Zadid,ism
ARABIC_SUDANESE_SPOKEN,AA,SEMITIC,16967000,ana,itt-itti,niXna,waXid-waXda,itnen,0,8amak,kalb,0,Sadara,0,8alax,0,Xadum,garn,adan,Xen,naxara,8inn,li8an,rukba,id,8adur,kabda,Sirib,Saf,8imiX,0,Ta,SamiS,xera8an,ma7,Xajar,nar,0,Tabal,ma8a,tyat,0,i8im
ARAMAIC,AA,SEMITIC,212800,ana,ah3t-ahat,axnan-axni,xa-xa7,tre-tre7,naSa-3nsan,nunita,kalba,qalma,siwa-dara,tarpa,g3lda,d3mma,garma,qana,nata,ena,naxira,kaka,liSana,b3rka,ida,x3dia,koda,Staia,xzaia,Sma7a,miata-mita,itaia,SimSa,kuxuta,maia-maie,kepa-qatra,nura,urxa-kolana,tura-zura,lele,m3lia,xata,S3mma
ARAMAIC_ANCIENT,AA,SEMITIC,-2,ana-ena,at,anana-Xnan,Xad,tren,barnaSa,nuna,kalba,kalma-kalmta,ilana,tarpa,maSka,dma-adma,garma,karna,edna-udna,Xaina,appa,Senna,leSSana,burke-arkubta,ida,tda-Xadia,kabda,eSti,Xza-Xa,SmaX,mit,eta,semSa,kawkba,maia,abna-kepa,nura,Sbila-kebSa,tura,lelia,mle,Xdat,Sma
ARGOBBA,AA,SEMITIC,43700,3yyo,Enk-EnC,3nnE,hEnd,k3t,su,EsE,woSSE,k3mEl,zEf,kEtEl,kodE,dEm,hEt3m,kEnd,joro,en,Eff3nTE,s3n,mElEs,gulbEt,3nji,tot,EmfEhE,SETTE,hEnjE,s3mma,modE,mEttE,TEhEd,kokob,ohuwwE,d3ngEi,3ssEd,hemE,gubbE,etE7,muli,hEgg3s,s3m
ASSYRIAN_NEO-ARAMAIC,AA,SEMITIC,598000,anaku,ata-ati,anenu,edu,Sina,amelu-napultu,nunu,kalbu,kalmutu,esu-gapnu,dapu-hashaltu,0,amanu,esentu,qarnu,hasisu,enu-inu,apu-nahiru,Sinu,liSanu,birku-burku,qatu-ritu,irtu-seretu,amutu,masitu-maSqitu,0,Samu,puru,alaku,SamSu-SanSu,kakubu,mame,abatu-abnu,anqulu-giru,daragu-geru,genu-hurSanu,muSitu-muSu,malu,eSu,nibitu
BIBLICAL_HEBREW,AA,SEMITIC,-2,ani,atah,anu-ananu,aXat,Stayim,enoS,dag-dig,keleb,ken,0,Xaleh,geled,dam,gerem,0,mlilah,Xayin,af,Sen,laSon,0,yad,dad-Xadi,kabed,gama7-Sa8ah,mareh,qaSab,gavaX,bo7,0,kokab,zarzif,eben,eSah,na8ib-oraX,0,XoSek,0,XadaS,0
CHAHA,AA,SEMITIC,1480000,0,0,0,at,xet,sab,asa,g3ya,q3mar,aTa,q3tar,goga,dam,at3m,qan,3nz3r,en,afuna,s3n,anabat,girbat,aT,tu-data,xapt,saTa,aSa,sama,mota,Tana,3yat-Tet,xoxab,3xa,3m3r,3sat,ema,qato,m3sara,0,gadar,S3m
CAIRO_ARABIC,AA,SEMITIC,58412000,ana,inta,iXna,waXid,itneen,Saxs,samak,kalb,7amla,Sagara,war7a,gild,damm,Xadma,7arn,widn,Xen,manaxiir,sinn,lisan,rukba,id,nahd,kibda,Sirib,Saf,simiX,mat,ga,Sams,nigma,mayya,Xagara,nar,tari7,gabal,lela,malyan,gidid,ism
CHRISTIAN_PALESTINIAN,AA,SEMITIC,24000,0,0,0,Xd,tryn,0,nwn7,klb7,0,7yln7,0,0,0,0,qrn7,dn7,Xyn7,0,Syn7,lySn7,0,7yd7,0,0,7Sty,Xm7,SmX,myt,7t7,SymS7,0,my7,0,nwr7,7wrX7,twr7-twr7,lyly7,0,Xdt7,0
CLASSICAL_ARABIC,AA,SEMITIC,-2,7ana,7anta,naXnu,7aXad,i8nani,7insan,samak,kalb,qamlah,Sajarah,waraqat,jild,dam,Xa8m,qarn,7u8n,Xayn,7unf,sinn,lisan,rukbat,yad,8adiy,kabid,Sariba,ra7a,samiXa,mata,ja7a,Sams,kaukab-najma,ma7,Xajarah,nar,tariq,jabal,laylah,mal7an,jadid,ism
CLASSICAL_MANDAIC,AA,SEMITIC,-2,ana,anat,anin,had-hda,trin-Xtrin,0,nuna,kalba,0,Xlana,alua,0,dma-zma,germa,qurna,odna,eyna,enhira,Sina,liSana-liSan,burka,yad,sapta-hadia,kabda,Sta-miStia,0,miSma-masutia,0,mitia,SameS,kukba,meya-may,g3lala,nur-nura,derka-biria-ohra,tor-tora,lilya,m3li,0,Som
CLASSICAL_SYRIAC,AA,SEMITIC,-1050,ina,at-at,Xnan-inanan,Xad-Xa8,trein,naSa,nuna,kalba,0,ilana,0,0,d3ma,0,qarna,idna,Xaina,0,Sina,liSana,0,ida,t38a,0,iSti,Xza,SmaX,mit,ita-mta,SimSa,0,maya,kipa-abna,nura,urXa,tura,lilya-laile,0,Xdit,Sma
DAMASCUS_ARABIC,AA,SEMITIC,25871950,7ana,73nte,n3Xna,waXed,tnen-tinten,zalame,samak,kalb,7amle,Sajara,wara7a,j3l3d,damm,Xadme,7ar3n,73d3n,Xen,73nf,s3nn,lsan,r3kbe,7id,b3zz,k3b3d,S3reb,Saf,s3meX,mat,73ja,Sam3s,najme,mayy-mayye,Xajara,nar,tari7,jabal,lele,malan-malyan,jdid,73s3m
DELLYS,AA,SEMITIC,28827000,ana,nta-nti,Xna,waX3d,zuj,bnad3m,Xuta,k3lb,q3mla,S3jra,w3rqa,j3ld,d3mm,X38ma,g3rn,w83n,Xin,nif,s3nn,lsan,0,y3dd,0,k3bda,Sr3b,Suf,sm3X,mut,yi,S3ms,n3jma,ma,X3jra,nar,triq,jb3l,lil-lila,mX3mm3r,jdid,as3m
ETHIOPIC,AA,SEMITIC,-2,ana,anta,neXna,aXadu,kel7e,egwalaemmaXeyaw,XaSa,kalb,qwemal,Xed,qwasl,ma7es-anada,dam,Xadm,garn,ezn,Xayn,anf,senn,lesan,berk,ed,anged7a,kabd,sataya-Saraba,re7eya,samXa,mota,mas7a,daXay,kaukab,may,ebn,esat,fenot,dabr,lelit,melu7,Xaddis,sem
GAFAT,AA,SEMITIC,-1850,EnEt,0,3ni,3yE,3l3StE,sEwE,EsE,woSE,kemEliS,zEfE,kEtEliS,gEgE,dEmE,EsmE,kEne,3znE,inE,EfE,0,m3lEsE,0,dede,towE,0,titE,0,0,0,sElE,sEgElE,kokobE,EgE,dEnE,isEtE,0,EmE,lilE,0,EdEsE,s3mE
GEEZ,AA,SEMITIC,-2,an3,k3-ant3,n3n3,aXadu-aXati,k3l7e-tu,akal,XaSa,k3lb,q3mal,X3L-om,q3cl,mas-adim,d3m-zom,XaLm,q3rn,3zn,Xan,anf,s3n,l3san-m3las,b3rk,3d,t3b,k3bd,s3t3y3,r37ay3,s3ma,mot3,m3sa,L3hay,kok3b,may,3bn,3sat,m3ng3d-f3not,d3b3r,lelit,m3lu7,Xadis,s3m
GEEZ_2,AA,SEMITIC,-2,3nE,anE,n3XanE,ah3d,k3l37etu,sE73b,Xase,kElb,k3mal,X3sE,kos3l,ma73s,dEm,Xas3m,kErn,3z3n,X3n,anf,s3n,l3san,b3rk,3d,t3b,kEbd,sEt3yE,r373yE,sEma,motE,mEs37a,sEXay,kokEb,may,3b3n,3st,f3not,dEb3r,lelit,0,Xadis,s3m
GEEZ_3,AA,SEMITIC,-2,ana,anta,n3Xna,aXadu,k3l7e,b373si,Xasa,kal3b,k3mal,X3d,kac3l,maX3s,dam,Xac3m,karn,3z3n,Xayn,anf,s3n,l3san,b3rk,3d,ang3d7a,kab3d,sty,r7y,smX,mwt,mc7,daXay,kokab,may,3b3n,3sat,f3not,dab3r,lelit,m3lu7,Xadis,s3m
GETO,AA,SEMITIC,1480000,3ya,axE,y3na,at,xet,sEb,asa,g3yE,k3mar,atank3rt,n3z3r,goga,dEm,at3m,0,3nz3r,En,anfuna,s3n,anEpEt,0,Ej,tu,xEbt,sECE,aSE,sEma,motE,CEnE,CEyEt,xoxep,ixa,3m3r,3sat,mEya,koto,m3sarE,0,gEdEr,S3m
HARARI,AA,SEMITIC,25800,En,0,innET,EXEd,ko7ot,usu7,tulEm,boTi,kumEi,lEfu,koti,gogE,dEm,at,kEr,uzon,in,uf,0,ErrEt,gilib,iji,to7t,kud,SETE,0,0,0,dijE,irr,tun,mii,on,isEt,0,sEri,orti,0,XEjis,sum
HARARI_2,AA,SEMITIC,25800,an,aka,35a,aXad,ko7ot,usu7,tulEm,buCi,kumay,lEfu,kuti,goga,dEm,at,kEr,uzun,in,uf,s3n,arat,g3lib,iji,tot,kud,sECa,ri7a,sEma7a,dija,magEda,ir,tuy,miy,un,isat,uga,sEri,lEyli-leli,mulu7,Xajis,sum
HARSUSI,AA,SEMITIC,600,hoh,het-etom,neha-eti,ehad-tad-wahed,tero-teret,benedem,het-sayd,kob-mabayl,kenemot,herom,0,dehak,dore7,zayz,kon,meSme7-heyden,ayn,nxerir,metenet-mezreh,leSen,bark,kef-hayd,todi,Sebdet,tek-gero,seni,homa,gab-mot,noka,heyom,kebkib,heko,sewer,sewet-emserfot-zawt,rosem,kermayn,aSer,mele7,heydin,hem
HEBREW,AA,SEMITIC,4822400,ani,ata-at,anaXnu,eXad,Snayim,adam,dag,kelev,parXoS,Xec,Xale,Xor,dam,Xecem,keren,ozen,Xayin,af,Sen,laSon,berex,yad,Sad,kaved,Sata,ra,SamaX,met,ba,SemeS,koxav,mayim,even,eS,Svil,har,layla,male,XadaS,Sem
HERTEVIN,AA,SEMITIC,1000,ana,ahet,ahnah,hda,terte-te,naps,nuna,kalwa,0,ilana,tarpa,0,dema,garma,0,nata,0,poza,kaka,neSala,berka-goCa,ida,sadra,0,Staya-Sate,haze-hazya,Samex-Samxa,mayet-meta-meti,xate-xaCa,0,zarzura-kehuta,maye,kepa,nura,warha,tura,lele,melya,hdata,Sema
HOBYOT,AA,SEMITIC,100,ho,het-hit,nah,tat-tit,i8roh-i8rit,bnad3m-insi,sad,kob,kinmit,h3rmit-L3jret,sqalfot,jod,8or,iLeL,kun,Xa8en,an,n3rir,m83not,lSan,bark,Xid,8od3,S3bsit,hotki,L3nu,him37,mot,nuk37,Xum,k3bkib,Xoh,sor,Liwot,Xor3m-L3jrit,j3bel,as3r,m3lun-mili,Xadin,hum
INNEMOR,AA,SEMITIC,280000,iiE,0,inE,Et,w3r7et,sEb,EsE,g3iE,3mEr,erE,kEhEr,gogE,dEm,a73m,kEn,3n3r,er,EmunE,0,EnEbEd,gurmEn,Ey,tu,0,sETE,0,0,0,mEhE,EiEd,xExEb,3xE,3m3r,3sEd,0,koto,m3SEdE,0,gEdEr,0
IRAQ_MUSLIM_BAGHDAD_ARABIC,AA,SEMITIC,15379000,7ani,7inta,7iXna,waXid,8nen,Saxis,simiC,Calib,gamla,Sajara,warga,jilid,damm,Xa8ma,girin,7i8in,Xen,xaSim,sinn,lisan,rukba,7id,nahid,kabda,Sirab,Saf,simaX,mat,ja,Samis,najma,may,Xjara,nar,tariq,jibal,lela,malyan-matrus,jidid,7isim
JILU,AA,SEMITIC,598000,ana,at-at3n-et-et3n,axnan,da-xe,tre-t3rte,naSa,0,kelba,0,ilana,0,0,d3mma,germa,kana,0,ena,nexira,0,0,b3rka,ida,0,0,Sta,xza,Sma,mya,iya,S3mSa,k3xwa,miya,kipa,0,orxa,tura,lele,m3lya,xiya,0
KUWAITI_ARABIC,AA,SEMITIC,6779000,0,0,0,waXid,i8nen,0,simaT,Calb,0,iSyara,0,0,0,0,garn,i8in,Xain,0,sin,lsan,0,id,0,0,Sarab,Saf,samaX,mat,ya,Sams,0,may,0,nar,darb,Tabal,lela,0,yidid,0
LISHAN_DIDAN,AA,SEMITIC,6450,0,0,0,xa,tre,0,masita,kalba,0,ilana,0,0,0,0,qanana,nahalta,ena,0,kaka,liSana,0,ida,0,0,Sati,xazi,Sami,mayil,adi,SimSa,0,moe,0,nura,wirxa,tura,lele,0,xala,0
MALTESE,AA,SEMITIC,473910,yiEnE,inti,aXna,wiEXEt,tnEn,pErsuna,Xuta,kElp,amla,sijra,wEr7a,jilda-oSra,dEm,Xadma,arn,widna,Xan,imniEXEr,sina,ilsiEn,irkoba,it,sidEr,fwiEt,Sorp,ra,tisma,tmut,tiji,SEmS,kEwkba,ilma,Xajra,nar,modiya,muntana,lEl,mimli-smin,jdit,isEm
MALTESE_ARABIC,AA,SEMITIC,473910,yin,int,aXna,wiXed,tneyn,persuna,Xuta,kelb,7amla,sijra,wer7a,jilda,demm,Xadma,7arn,widna,Xayn,imniXer,sinna,lsin,rkobba,id,ZeyZa,fwid,Sorob,ra,sama7,mit,ji,SemS,stilla-kewkba,ilma,jebla,nar,tri7,muntanya,leyl,mimli,jdid,isem
MALULA,AA,SEMITIC,24000,0,0,0,aXa8,i8r,barnaS,0,0,0,0,0,0,0,0,0,0,Xana,0,0,liSona,0,i8a,0,0,0,emi,iSmeX,ame8,8ole,SimSa,0,moya,xefa,0,tarba,tura,lelya,0,0,eSma
MEHRI,AA,SEMITIC,115200,hu,het,naXa,tad,tru,ben-adim-adam,Xut,kop-kalup,kenmit-kunut,sijrit,sgafot,jildit,dore,adayd,qon,hayden,X7ayn,naxrir,mdaraX,liSin,bark,Xeyd,todi,Sebedit-todi,tiq-jora,galoq-sini,hima,miut,inka,Xeyum,kobkib,Xamu-moh,Xaubin-sour,siwot,wagad-sedet-Xourem,karmaim-jibel,Xaliliu,mile,hayden,ham-Xam
MEHRI_2,AA,SEMITIC,115200,hoh,hit,nXah,tat-tayt,deroh,n3far,cayd,mbayl,kenmit,h3rmayt,cxalfot,gEd,doreh,XaZyZ,kon,haydin,Xayn,neXrir,mdenyet,lSin,barak,Xayd,gowf,Sebdit,hutki,sinuh,hema,mot,nukaX,X3yum,kebkib,Xemuh,cower,siwot,Xirum,karmaym,Xacar,mila7,Xeydin,ham
MESMES,AA,SEMITIC,-2000,hiiE,0,3nE,hEti,wo7Eti,s3we,0,giie,kuwEnE,ie7e,ko7orE,gogE,do,hEwE,konE,onzurE,3n,EnfonE,0,EnnodE,gonodE,3yE,tuiie,fore,sETo,0,0,0,mE7Eie,ime,hohoie,ohE,onE,3sEde,0,EniE,hEonSode,0,woiEmo,Sum
MESMES_2,AA,SEMITIC,-2000,hiya,ahe,3na,hati,wu7Eti,s3we,0,giye,kuwana,ye7e,ko7ora,goga,do,hauwa,kona,unzura,3n,anfuna,s3ne,anoda,gunoda,3ja,tuwiye,fore,sECo,hayo-hayyo,soma,moto,ma7a,ime,hohoye,uha,ouna,3sade,moya,ana-a5a,hawonSode,0,woyamo,Sum
MESQAN,AA,SEMITIC,195000,3yE,0,inE,Et,het,sEb,EsE,g3i3,k3mEl,zEf,k3tEl,gogE,dEm,Et3m,0,3nzin,en,EnfonE,0,ElEmEt,0,3jE,0,hEb3d,sETE,0,0,0,TE53,Tet,kelbEz3,3gE,3m3n,3sEt,0,EnE5E,m3sEr3,0,gEdEr,S3m
MLAHSO,AA,SEMITIC,-1998,ono,hat,el3na,ha,0,noSo-noSko,0,kalbo,0,ilone,pale-tarfe,0,dmo,garmo,0,ezno,ayne,nhiro,arSe,leSono,berko,izo,hazyo,0,Sotw-stele,hoze-hzele,Some7,mes-misle,sy,SemSo,kokvo,may-mayo,kifo,nuro,yerho,turo,lilyo,mlese,0,iSmo
MODERN_MANDAIC,AA,SEMITIC,5500,0,at,eni-anin,ehda-heda-yeki,tren-tarta,barnaSa,fonida,kalba,qomolta,deraXt-qonara,pEr,meSka,d3ma-edma,germa,SaX-qarna,odna-onna,in-ina,nehira,Senna,liSan-liSana,borka,id-ida,sine,kabda,Sat,heza,sat,met-meXtat,ata,SameS,koXba,men-mena,gelala-gelalta,nur-nura,ohra,tora-rabba-agma,lili-lilya-lili,0,taze,eSma-oSma
MOROCCAN_ARABIC,AA,SEMITIC,23060100,Ena,3nta-3nti,X3na,woX3d,zuZ-ZuZ,insEn,Xota,k3lb,0,S3Zra,w3rqa,Z3l3d-Z3ld,d3m,X3d3m,g3r3n-q3r3n,w3d3n,3X3n,m3nx3r-nif,s3na,l3sEn,rukba-rokba,id-y3d,b3zula,k3bda,S3r3b,n3d3r-SEf,s3m3X,mEt,Za,3s3ms-3s3mS,0,ma,X3Zra,Xofa,0,Z3b3l,lil,Xom3r,Z3did,s3m-s3m3ya
MOROCCAN_ARABIC_2,AA,SEMITIC,23060100,ana,nta,Xna,waXed,ZuZ,siyed,Xut,kelb,qemla,SeZra,werqa,Zeld,demm,Xdem,qern,wden,Xeyn,nif,senn,lsan,rokba,idd,bezzula,kebda,Sreb,Saf,smeX,mat,Za,SemS,neZma,ma,XeZra,Xafya,triq,Zbel,lila,Xamer,Zdid,smiya
NEO_MANDAIC_KHORRAMSHAHR,AA,SEMITIC,5500,Ena-En,ot,Eni-En,Ehta-Ehdo-yE,do-tren,barnoSo-barnoS,fonido,kElbo,q3mol8o,d3rEXt,pEr,mESko,d3mo-zEmmo,gErmo,qarn,onno,ino,n3hiro,SEnno,lESono,borko,ido,0,kEbdo,Swt-Syt,hzw-hzy,swt-syt,mwt-myt,7tw-7ty,SomES,koXwo,miEno,g3lolo-g3lalto,nuro-nur,ohro,tEl-turo,lilyo,mlw-mly,0,ESmo-ESm-Som
